year,kind,count
2021,소,933861
2021,돼지,18382767
2021,말,1270
2021,양,148222
2021,닭,1035642629
2021,오리,49280317
2020,소,887196
2020,돼지,18329952
2020,말,1143
2020,양,161667
2020,닭,1070416421
2020,오리,66970272
2019,소,886604
2019,돼지,17825249
2019,말,1346
2019,양,145453
2019,닭,1059994059
2019,오리,69619102
2018,소,866845
2018,돼지,17369032
2018,말,1249
2018,양,106561
2018,닭,1004823808
2018,오리,67475606
2017,소,873483
2017,돼지,16727882
2017,말,1237
2017,양,81387
2017,닭,936020087
2017,오리,46100846
2016,소,861487
2016,돼지,16545492
2016,말,1225
2016,양,68588
2016,닭,992518376
2016,오리,71445064
2015,소,1005586
2015,돼지,15906502
2015,말,1108
2015,양,55273
2015,닭,966964527
2015,오리,71056331
2014,소,1041854
2014,돼지,15686435
2014,말,1031
2014,양,69971
2014,닭,885324302
2014,오리,51020413
2013,소,1071897
2013,돼지,16130447
2013,말,921
2013,양,57382
2013,닭,791155344
2013,오리,85382162
2012,소,970302
2012,돼지,14039960
2012,말,881
2012,양,7883
2012,닭,787958258
2012,오리,90409001
2011,소,852565
2011,돼지,10833042
2011,말,886
2011,양,2535
2011,닭,759609670
2011,오리,85528756
2010,소,752528
2010,돼지,14629379
2010,말,889
2010,양,2606
2010,닭,725285680
2010,오리,74834055
2009,소,815014
2009,돼지,13918628
2009,말,990
2009,양,4662
2009,닭,680010087
2009,오리,54471311
2008,소,769432
2008,돼지,13805582
2008,말,811
2008,양,7318
2008,닭,626481504
2008,오리,48414285
2007,소,683856
2007,돼지,13674849
2007,말,819
2007,양,11539
2007,닭,637729695
2007,오리,42187170
2006,소,630458
2006,돼지,13003286
2006,말,813
2006,양,12712
2006,닭,608562367
2006,오리,30560123
2005,소,612472
2005,돼지,13464995
2005,말,626
2005,양,8720
2005,닭,576898920
2005,오리,20716645
2004,소,576574
2004,돼지,14620246
2004,말,429
2004,양,9657
2004,닭,499768692
2004,오리,15244995
